Hexalith.Conversations.Conformance.Tests	Microsoft.Testing.Platform.MSBuild	2.4.0
Hexalith.Conversations.Conformance.Tests	Microsoft.Win32.Registry	5.0.0
Hexalith.Conversations.Conformance.Tests	OpenTelemetry	1.18.0
Hexalith.Conversations.Conformance.Tests	OpenTelemetry.Api	1.18.0
Hexalith.Conversations.Conformance.Tests	OpenTelemetry.Api.ProviderBuilderExtensions	1.18.0
Hexalith.Conversations.Conformance.Tests	OpenTelemetry.Exporter.OpenTelemetryProtocol	1.18.0
Hexalith.Conversations.Conformance.Tests	OpenTelemetry.Extensions.Hosting	1.18.0
Hexalith.Conversations.Conformance.Tests	OpenTelemetry.Instrumentation.AspNetCore	1.18.0
Hexalith.Conversations.Conformance.Tests	OpenTelemetry.Instrumentation.Http	1.18.0
Hexalith.Conversations.Conformance.Tests	OpenTelemetry.Instrumentation.Runtime	1.18.0
Hexalith.Conversations.Conformance.Tests	Polly.Core	8.4.2
Hexalith.Conversations.Conformance.Tests	Polly.Extensions	8.4.2
Hexalith.Conversations.Conformance.Tests	Polly.RateLimiting	8.4.2
Hexalith.Conversations.Conformance.Tests	Shouldly	4.3.0
Hexalith.Conversations.Conformance.Tests	System.CodeDom	6.0.0
Hexalith.Conversations.Conformance.Tests	System.IdentityModel.Tokens.Jwt	8.22.0
Hexalith.Conversations.Conformance.Tests	System.Management	6.0.1
Hexalith.Conversations.Conformance.Tests	System.Security.AccessControl	6.0.1
Hexalith.Conversations.Conformance.Tests	System.Threading.RateLimiting	8.0.0
Hexalith.Conversations.Conformance.Tests	coverlet.collector	10.0.1
Hexalith.Conversations.Conformance.Tests	xunit.analyzers	2.1.0
Hexalith.Conversations.Conformance.Tests	xunit.runner.visualstudio	4.0.0
Hexalith.Conversations.Conformance.Tests	xunit.v3	4.0.1
Hexalith.Conversations.Conformance.Tests	xunit.v3.assert	4.0.1
Hexalith.Conversations.Conformance.Tests	xunit.v3.common	4.0.1
Hexalith.Conversations.Conformance.Tests	xunit.v3.core.mtp-v2	4.0.1
Hexalith.Conversations.Conformance.Tests	xunit.v3.extensibility.core	4.0.1
Hexalith.Conversations.Conformance.Tests	xunit.v3.mtp-v2	4.0.1
Hexalith.Conversations.Conformance.Tests	xunit.v3.runner.common	4.0.1
Hexalith.Conversations.Conformance.Tests	xunit.v3.runner.inproc.console	4.0.1
Hexalith.Conversations.IntegrationTests	AspNetCore.HealthChecks.Uris	9.0.0
Hexalith.Conversations.IntegrationTests	Aspire.Hosting	13.5.4
Hexalith.Conversations.IntegrationTests	Aspire.Hosting.AppHost	13.5.4
Hexalith.Conversations.IntegrationTests	Aspire.Hosting.Testing	13.5.4
